
building id: 1
-119.48084061919 49.873221161454 351.52589999999 
-119.48084311901 49.873277989178 351.44259999999 
-119.48089361904 49.873278366115 350.93060000001 
-119.4808944326 49.873309527824 350.8115 
-119.48086813422 49.873309424165 352.31140000001 
-119.48086743152 49.873299262968 352.3233 
-119.48081181812 49.873298878453 352.15670000001 
-119.48080972724 49.873310663912 352.29949999999 
-119.48079893298 49.873309253961 352.3233 
-119.48079803373 49.873313969721 352.3352 
-119.48077466324 49.873312087069 351.3949 
-119.48077186885 49.873295523731 351.33530000001 
-119.48041313894 49.873295925164 351.2997 
-119.48041223392 49.873316805342 351.3711 
-119.48015214666 49.873318313172 351.4307 
-119.48015269214 49.873328903447 351.51390000001 
-119.48014704717 49.873328838211 351.58530000001 
-119.48014487573 49.873385880827 351.65670000001 
-119.48016563148 49.873385836768 351.41869999999 
